IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
190.93.247.145,4,4,0.00,167.66,0.00
104.18.105.41,4,4,0.00,167.73,0.00
104.16.255.187,4,4,0.00,167.82,0.00
104.17.246.103,4,4,0.00,167.92,0.00
104.19.165.9,4,4,0.00,167.92,0.00
172.65.221.57,4,4,0.00,167.95,0.00
172.64.87.118,4,4,0.00,167.97,0.00
104.18.1.1,4,4,0.00,168.01,0.00
104.17.129.153,4,4,0.00,168.04,0.00
104.19.73.232,4,4,0.00,168.11,0.00
104.18.221.224,4,4,0.00,168.18,0.00
104.16.154.233,4,4,0.00,168.19,0.00
104.16.171.158,4,4,0.00,168.21,0.00
104.17.125.244,4,4,0.00,168.26,0.00
104.18.124.206,4,4,0.00,168.26,0.00
104.17.22.39,4,4,0.00,168.31,0.00
162.159.7.136,4,4,0.00,168.33,0.00
172.65.199.121,4,4,0.00,168.36,0.00
104.17.141.72,4,4,0.00,168.41,0.00
104.18.99.209,4,4,0.00,168.42,0.00
104.16.57.141,4,4,0.00,168.48,0.00
104.19.62.100,4,4,0.00,168.49,0.00
104.18.254.71,4,4,0.00,168.51,0.00
104.19.80.13,4,4,0.00,168.54,0.00
104.16.99.185,4,4,0.00,168.55,0.00
104.16.58.143,4,4,0.00,168.56,0.00
104.18.239.0,4,4,0.00,168.66,0.00
104.19.27.186,4,4,0.00,168.70,0.00
104.18.4.194,4,4,0.00,168.74,0.00
104.19.205.185,4,4,0.00,168.75,0.00
190.93.244.115,4,4,0.00,168.79,0.00
104.16.199.118,4,4,0.00,168.85,0.00
104.19.194.170,4,4,0.00,168.86,0.00
172.64.88.209,4,4,0.00,168.89,0.00
104.16.80.52,4,4,0.00,168.91,0.00
104.18.51.25,4,4,0.00,168.91,0.00
172.66.2.201,4,4,0.00,168.95,0.00
104.18.240.202,4,4,0.00,168.97,0.00
104.16.225.161,4,4,0.00,169.01,0.00
104.18.104.124,4,4,0.00,169.09,0.00
104.19.234.100,4,4,0.00,169.21,0.00
104.18.230.197,4,4,0.00,169.26,0.00
172.65.195.195,4,4,0.00,169.28,0.00
104.16.147.40,4,4,0.00,169.30,0.00
104.17.208.21,4,4,0.00,169.35,0.00
104.16.71.201,4,4,0.00,169.36,0.00
162.159.6.215,4,4,0.00,169.36,0.00
172.66.42.31,4,4,0.00,169.38,0.00
104.16.209.65,4,4,0.00,169.39,0.00
104.17.8.196,4,4,0.00,169.40,0.00
141.101.120.127,4,4,0.00,169.41,0.00
104.19.151.77,4,4,0.00,169.42,0.00
172.65.214.223,4,4,0.00,169.48,0.00
198.41.203.30,4,4,0.00,169.48,0.00
104.19.75.73,4,4,0.00,169.50,0.00
104.17.102.57,4,4,0.00,169.50,0.00
172.66.0.1,4,4,0.00,169.51,0.00
104.17.225.85,4,4,0.00,169.52,0.00
104.17.44.55,4,4,0.00,169.53,0.00
104.16.194.11,4,4,0.00,169.53,0.00
104.16.160.172,4,4,0.00,169.58,0.00
104.17.74.251,4,4,0.00,169.63,0.00
172.65.224.252,4,4,0.00,169.67,0.00
104.18.109.160,4,4,0.00,169.67,0.00
104.19.209.46,4,4,0.00,169.67,0.00
104.19.215.74,4,4,0.00,169.68,0.00
104.18.197.207,4,4,0.00,169.69,0.00
104.18.181.83,4,4,0.00,169.70,0.00
104.16.9.207,4,4,0.00,169.72,0.00
104.18.246.184,4,4,0.00,169.79,0.00
172.64.95.60,4,4,0.00,169.80,0.00
104.19.207.91,4,4,0.00,169.84,0.00
162.159.244.23,4,4,0.00,169.84,0.00
172.65.230.99,4,4,0.00,169.87,0.00
172.65.228.37,4,4,0.00,169.92,0.00
104.18.34.39,4,4,0.00,169.93,0.00
104.19.155.60,4,4,0.00,169.94,0.00
172.65.218.12,4,4,0.00,169.95,0.00
104.16.177.152,4,4,0.00,169.97,0.00
104.19.9.156,4,4,0.00,170.02,0.00
104.17.181.220,4,4,0.00,170.03,0.00
104.16.218.231,4,4,0.00,170.05,0.00
104.18.202.62,4,4,0.00,170.05,0.00
104.19.119.104,4,4,0.00,170.08,0.00
104.19.107.132,4,4,0.00,170.08,0.00
104.16.169.4,4,4,0.00,170.11,0.00
104.16.242.4,4,4,0.00,170.12,0.00
104.19.223.213,4,4,0.00,170.15,0.00
172.64.41.13,4,4,0.00,170.24,0.00
104.16.212.59,4,4,0.00,170.28,0.00
104.16.190.209,4,4,0.00,170.29,0.00
104.16.55.223,4,4,0.00,170.32,0.00
104.19.25.210,4,4,0.00,170.33,0.00
172.64.198.166,4,4,0.00,170.38,0.00
172.65.197.119,4,4,0.00,170.42,0.00
104.19.158.54,4,4,0.00,170.42,0.00
162.159.3.15,4,4,0.00,170.50,0.00
104.19.1.209,4,4,0.00,170.52,0.00
172.65.202.141,4,4,0.00,170.52,0.00
162.159.32.0,4,4,0.00,170.56,0.00
172.64.91.231,4,4,0.00,170.57,0.00
104.17.21.132,4,4,0.00,170.58,0.00
172.65.247.87,4,4,0.00,170.59,0.00
172.65.245.24,4,4,0.00,170.60,0.00
104.17.167.39,4,4,0.00,170.67,0.00
162.159.41.110,4,4,0.00,170.67,0.00
104.18.253.153,4,4,0.00,170.68,0.00
104.17.20.64,4,4,0.00,170.71,0.00
172.64.36.197,4,4,0.00,170.73,0.00
172.64.161.251,4,4,0.00,170.76,0.00
104.19.24.172,4,4,0.00,170.78,0.00
104.19.102.130,4,4,0.00,170.79,0.00
104.19.30.7,4,4,0.00,170.81,0.00
172.64.145.159,4,4,0.00,170.89,0.00
172.65.203.124,4,4,0.00,170.89,0.00
104.16.78.103,4,4,0.00,170.91,0.00
104.16.174.194,4,4,0.00,170.93,0.00
104.19.178.92,4,4,0.00,170.94,0.00
104.16.246.99,4,4,0.00,170.95,0.00
172.64.152.123,4,4,0.00,171.08,0.00
104.19.146.182,4,4,0.00,171.08,0.00
104.16.243.208,4,4,0.00,171.08,0.00
172.65.219.247,4,4,0.00,171.09,0.00
104.17.155.136,4,4,0.00,171.09,0.00
104.19.235.95,4,4,0.00,171.11,0.00
104.16.108.197,4,4,0.00,171.11,0.00
172.65.198.48,4,4,0.00,171.13,0.00
104.17.84.175,4,4,0.00,171.18,0.00
104.18.158.166,4,4,0.00,171.20,0.00
104.18.98.184,4,4,0.00,171.21,0.00
104.17.253.74,4,4,0.00,171.22,0.00
104.17.221.230,4,4,0.00,171.22,0.00
104.18.244.19,4,4,0.00,171.26,0.00
162.159.0.168,4,4,0.00,171.26,0.00
162.159.5.246,4,4,0.00,171.26,0.00
104.17.114.92,4,4,0.00,171.26,0.00
104.19.156.13,4,4,0.00,171.27,0.00
172.64.164.237,4,4,0.00,171.29,0.00
104.19.0.94,4,4,0.00,171.33,0.00
172.65.207.220,4,4,0.00,171.33,0.00
172.65.233.139,4,4,0.00,171.33,0.00
104.21.234.68,4,4,0.00,171.34,0.00
104.18.138.123,4,4,0.00,171.34,0.00
104.19.185.132,4,4,0.00,171.38,0.00
104.18.102.110,4,4,0.00,171.40,0.00
104.16.17.239,4,4,0.00,171.42,0.00
104.16.69.202,4,4,0.00,171.42,0.00
104.19.139.82,4,4,0.00,171.42,0.00
172.65.225.42,4,4,0.00,171.43,0.00
172.65.225.156,4,4,0.00,171.44,0.00
162.159.202.183,4,4,0.00,171.48,0.00
104.16.61.107,4,4,0.00,171.49,0.00
104.16.170.14,4,4,0.00,171.56,0.00
104.19.113.222,4,4,0.00,171.59,0.00
104.17.101.94,4,4,0.00,171.61,0.00
104.18.238.1,4,4,0.00,171.61,0.00
104.19.216.253,4,4,0.00,171.62,0.00
104.16.202.233,4,4,0.00,171.66,0.00
104.17.254.49,4,4,0.00,171.69,0.00
104.19.171.12,4,4,0.00,171.69,0.00
104.17.142.158,4,4,0.00,171.74,0.00
104.17.188.100,4,4,0.00,171.79,0.00
104.17.70.172,4,4,0.00,171.79,0.00
104.19.109.91,4,4,0.00,171.79,0.00
104.18.97.247,4,4,0.00,171.86,0.00
104.19.100.168,4,4,0.00,171.87,0.00
104.17.54.157,4,4,0.00,171.87,0.00
104.16.0.236,4,4,0.00,171.89,0.00
190.93.245.102,4,4,0.00,171.90,0.00
104.17.67.23,4,4,0.00,171.94,0.00
104.16.158.14,4,4,0.00,171.95,0.00
104.18.27.147,4,4,0.00,171.95,0.00
104.19.8.223,4,4,0.00,171.95,0.00
104.19.224.91,4,4,0.00,171.98,0.00
104.17.85.23,4,4,0.00,171.99,0.00
104.17.47.45,4,4,0.00,172.00,0.00
104.18.84.62,4,4,0.00,172.02,0.00
198.41.201.112,4,4,0.00,172.03,0.00
104.19.238.119,4,4,0.00,172.04,0.00
172.65.234.129,4,4,0.00,172.05,0.00
104.19.184.45,4,4,0.00,172.07,0.00
104.18.237.211,4,4,0.00,172.09,0.00
104.19.230.161,4,4,0.00,172.12,0.00
104.17.100.58,4,4,0.00,172.13,0.00
104.18.49.108,4,4,0.00,172.14,0.00
104.19.164.195,4,4,0.00,172.14,0.00
104.16.65.61,4,4,0.00,172.15,0.00
104.17.216.151,4,4,0.00,172.15,0.00
104.17.46.27,4,4,0.00,172.15,0.00
104.17.183.75,4,4,0.00,172.17,0.00
104.16.56.217,4,4,0.00,172.17,0.00
172.64.202.178,4,4,0.00,172.21,0.00
104.19.22.103,4,4,0.00,172.23,0.00
172.65.237.162,4,4,0.00,172.24,0.00
128.14.140.254,4,4,0.00,172.24,0.00
104.18.19.117,4,4,0.00,172.25,0.00
104.19.121.184,4,4,0.00,172.25,0.00
104.16.175.212,4,4,0.00,172.26,0.00
104.16.90.91,4,4,0.00,172.26,0.00
172.64.199.202,4,4,0.00,172.27,0.00
104.19.244.125,4,4,0.00,172.28,0.00
172.65.243.66,4,4,0.00,172.34,0.00
172.65.238.18,4,4,0.00,172.34,0.00
104.16.64.229,4,4,0.00,172.38,0.00
104.21.229.102,4,4,0.00,172.40,0.00
172.66.3.169,4,4,0.00,172.41,0.00
104.19.168.226,4,4,0.00,172.43,0.00
172.65.231.81,4,4,0.00,172.44,0.00
104.18.128.58,4,4,0.00,172.44,0.00
104.16.72.61,4,4,0.00,172.48,0.00
104.17.255.176,4,4,0.00,172.49,0.00
172.64.93.28,4,4,0.00,172.49,0.00
104.17.241.150,4,4,0.00,172.50,0.00
108.162.198.69,4,4,0.00,172.52,0.00
172.64.206.150,4,4,0.00,172.52,0.00
162.159.33.246,4,4,0.00,172.53,0.00
104.18.131.26,4,4,0.00,172.57,0.00
141.101.123.21,4,4,0.00,172.62,0.00
104.16.60.143,4,4,0.00,172.63,0.00
104.19.36.176,4,4,0.00,172.64,0.00
104.19.45.115,4,4,0.00,172.65,0.00
104.17.66.229,4,4,0.00,172.67,0.00
104.19.157.79,4,4,0.00,172.68,0.00
104.19.181.166,4,4,0.00,172.70,0.00
172.64.99.5,4,4,0.00,172.73,0.00
104.19.56.254,4,4,0.00,172.80,0.00
104.18.129.187,4,4,0.00,172.81,0.00
162.159.23.161,4,4,0.00,172.81,0.00
104.16.25.92,4,4,0.00,172.83,0.00
172.64.140.24,4,4,0.00,172.83,0.00
104.17.150.1,4,4,0.00,172.87,0.00
104.19.104.222,4,4,0.00,172.87,0.00
172.65.217.36,4,4,0.00,172.88,0.00
104.18.69.8,4,4,0.00,172.89,0.00
162.159.48.201,4,4,0.00,172.90,0.00
104.17.166.173,4,4,0.00,172.92,0.00
104.18.7.187,4,4,0.00,172.92,0.00
104.17.218.251,4,4,0.00,172.94,0.00
104.18.94.157,4,4,0.00,172.94,0.00
